visit_id,store_id,visit_date,daypart,shopper_id,shopper_type,wait_time_min,order_accurate,score_speed,score_service,score_cleanliness,overall_score,adj_score
CK-100047,S100,2026-01-07,evening,P01,professional,3.7,1,76.0,78.0,73.0,79.2,79.2
CK-100048,S101,2026-01-07,morning,P16,professional,2.1,1,82.0,74.0,78.0,76.6,76.6
CK-100049,S104,2026-01-07,midday,P05,professional,8.5,1,77.0,77.0,83.0,82.9,82.9
CK-100050,S117,2026-01-07,morning,P21,professional,6.9,1,85.0,77.0,75.0,82.3,82.3
CK-100051,S120,2026-01-07,evening,P10,professional,10.2,1,81.0,70.0,68.0,72.5,72.5
CK-100052,S020,2026-01-08,morning,P28,professional,7.9,1,67.0,67.0,70.0,76.1,76.1
CK-100053,S032,2026-01-08,evening,P10,professional,3.5,1,76.0,77.0,81.0,79.6,79.6
CK-100054,S034,2026-01-08,morning,P13,professional,3.4,1,85.0,87.0,83.0,84.2,84.2
CK-100055,S041,2026-01-08,morning,P01,professional,6.3,1,88.0,89.0,80.0,79.4,79.4
CK-100056,S043,2026-01-08,midday,P15,professional,1.4,1,84.0,78.0,89.0,88.5,88.5
CK-100057,S044,2026-01-08,midday,P13,professional,2.9,1,66.0,62.0,68.0,70.1,70.1
CK-100058,S045,2026-01-08,evening,P29,professional,4.5,1,85.0,72.0,84.0,76.4,76.4
CK-100059,S046,2026-01-08,morning,P19,professional,3.6,1,68.0,70.0,72.0,69.6,69.6
CK-100060,S047,2026-01-08,evening,P11,professional,6.0,1,89.0,84.0,88.0,87.4,87.4
CK-100061,S048,2026-01-08,evening,P04,professional,5.2,1,68.0,70.0,61.0,70.9,70.9
CK-100062,S055,2026-01-08,morning,P19,professional,3.4,1,80.0,82.0,80.0,80.6,80.6
CK-100063,S063,2026-01-08,evening,P23,professional,4.1,1,83.0,83.0,83.0,75.3,75.3
CK-100064,S069,2026-01-08,evening,P30,professional,6.8,1,64.0,52.0,68.0,62.8,62.8
CK-100065,S077,2026-01-08,morning,P06,professional,9.2,1,82.0,89.0,86.0,81.6,81.6
CK-100066,S088,2026-01-08,morning,P24,professional,2.9,1,78.0,79.0,93.0,89.0,89.0
CK-100067,S090,2026-01-08,morning,P26,professional,5.6,1,100.0,92.0,100.0,92.1,92.1
CK-100068,S093,2026-01-08,evening,P16,professional,6.9,1,60.0,64.0,67.0,68.6,68.6
CK-100069,S094,2026-01-08,evening,P03,professional,10.6,1,72.0,74.0,59.0,69.9,69.9
CK-100070,S111,2026-01-08,morning,P25,professional,6.0,1,81.0,87.0,77.0,82.6,82.6
CK-100071,S116,2026-01-08,evening,P02,professional,6.2,0,77.0,74.0,80.0,76.3,76.3
CK-100072,S011,2026-01-09,midday,P05,professional,2.5,1,92.0,80.0,86.0,81.7,81.7
CK-100073,S030,2026-01-09,evening,P07,professional,10.5,1,79.0,83.0,74.0,77.6,77.6
CK-100074,S034,2026-01-09,midday,P02,professional,9.5,0,72.0,63.0,69.0,71.7,71.7
CK-100075,S049,2026-01-09,morning,P28,professional,5.7,1,77.0,87.0,89.0,83.6,83.6
CK-100076,S051,2026-01-09,evening,P10,professional,10.0,0,75.0,71.0,68.0,71.6,71.6
CK-100077,S052,2026-01-09,morning,P25,professional,4.1,0,82.0,76.0,81.0,80.0,80.0
CK-100078,S066,2026-01-09,evening,P27,professional,9.4,1,69.0,70.0,76.0,72.5,72.5
CK-100079,S070,2026-01-09,evening,P23,professional,7.9,1,66.0,65.0,59.0,65.9,65.9
CK-100080,S074,2026-01-09,midday,P29,professional,4.3,1,72.0,68.0,81.0,74.3,74.3
CK-100081,S087,2026-01-09,midday,P12,professional,3.2,1,64.0,64.0,70.0,66.3,66.3
CK-100082,S089,2026-01-09,evening,P06,professional,10.0,1,80.0,71.0,74.0,71.7,71.7
CK-100083,S093,2026-01-09,evening,P10,professional,9.0,1,79.0,67.0,79.0,73.5,73.5
CK-100084,S097,2026-01-09,morning,P05,professional,5.6,1,67.0,74.0,68.0,72.1,72.1
CK-100085,S099,2026-01-09,morning,P09,professional,2.0,1,99.0,87.0,98.0,92.7,92.7
CK-100086,S106,2026-01-09,morning,P07,professional,5.0,1,81.0,78.0,88.0,83.3,83.3
CK-100087,S004,2026-01-10,midday,P30,professional,5.0,1,86.0,92.0,92.0,89.2,89.2
CK-100088,S006,2026-01-10,midday,P08,professional,7.3,1,85.0,86.0,91.0,87.5,87.5
CK-100089,S016,2026-01-10,morning,P19,professional,8.2,1,78.0,71.0,71.0,72.4,72.4
CK-100090,S022,2026-01-10,morning,P16,professional,15.5,1,80.0,78.0,79.0,80.6,80.6
CK-100091,S035,2026-01-10,midday,P23,professional,5.9,1,66.0,71.0,67.0,64.6,64.6
CK-100092,S037,2026-01-10,evening,P25,professional,6.1,1,65.0,67.0,73.0,71.4,71.4
CK-100093,S041,2026-01-10,midday,P27,professional,10.4,1,76.0,85.0,74.0,79.3,79.3
CK-100094,S044,2026-01-10,midday,P17,professional,2.0,1,71.0,62.0,54.0,65.3,65.3
CK-100095,S046,2026-01-10,morning,P30,professional,3.9,1,87.0,84.0,89.0,83.4,83.4
CK-100096,S053,2026-01-10,midday,P11,professional,3.0,1,66.0,79.0,73.0,71.7,71.7
CK-100097,S065,2026-01-10,midday,P09,professional,3.4,1,75.0,73.0,75.0,75.0,75.0
CK-100098,S080,2026-01-10,evening,P05,professional,12.0,1,71.0,72.0,68.0,71.5,71.5
CK-100099,S091,2026-01-10,morning,P19,professional,3.0,1,78.0,75.0,82.0,79.5,79.5
CK-100100,S102,2026-01-10,evening,P07,professional,4.9,1,81.0,77.0,84.0,83.2,83.2
CK-100101,S105,2026-01-10,evening,P08,professional,4.9,1,95.0,88.0,87.0,92.2,92.2
CK-100102,S111,2026-01-10,evening,P18,professional,8.4,1,79.0,75.0,84.0,75.7,75.7
CK-100103,S009,2026-01-11,morning,P14,professional,2.2,1,84.0,72.0,79.0,79.1,79.1
CK-100104,S011,2026-01-11,morning,P26,professional,3.6,1,89.0,94.0,92.0,88.8,88.8
CK-100105,S013,2026-01-11,morning,P20,professional,4.9,1,95.0,90.0,87.0,89.6,89.6
CK-100106,S021,2026-01-11,morning,P09,professional,3.5,1,83.0,77.0,76.0,81.3,81.3
CK-100107,S022,2026-01-11,midday,P17,professional,2.0,1,79.0,72.0,75.0,76.1,76.1
CK-100108,S031,2026-01-11,evening,P27,professional,5.2,1,73.0,75.0,67.0,66.2,66.2
CK-100109,S034,2026-01-11,evening,P04,professional,15.2,1,80.0,79.0,76.0,72.3,72.3
CK-100110,S037,2026-01-11,midday,P12,professional,1.8,1,72.0,71.0,68.0,74.2,74.2
CK-100111,S044,2026-01-11,morning,P06,professional,4.2,1,89.0,77.0,71.0,78.4,78.4
CK-100112,S055,2026-01-11,midday,P03,professional,8.0,1,90.0,86.0,82.0,86.9,86.9
CK-100113,S061,2026-01-11,evening,P03,professional,4.5,1,82.0,86.0,81.0,84.0,84.0
CK-100114,S062,2026-01-11,midday,P27,professional,2.9,1,88.0,82.0,89.0,86.5,86.5
CK-100115,S066,2026-01-11,evening,P27,professional,8.8,1,61.0,58.0,67.0,66.0,66.0
CK-100116,S080,2026-01-11,midday,P23,professional,4.4,1,79.0,82.0,84.0,80.9,80.9
CK-100117,S082,2026-01-11,evening,P06,professional,3.3,1,64.0,68.0,64.0,70.2,70.2
CK-100118,S088,2026-01-11,evening,P12,professional,7.2,1,68.0,79.0,73.0,71.1,71.1
CK-100119,S089,2026-01-11,morning,P01,professional,9.7,1,81.0,74.0,78.0,72.3,72.3
CK-100120,S093,2026-01-11,midday,P27,professional,3.6,0,67.0,81.0,75.0,72.4,72.4
CK-100121,S096,2026-01-11,midday,P22,professional,2.9,1,82.0,86.0,92.0,85.2,85.2
CK-100122,S098,2026-01-11,midday,P05,professional,4.0,1,84.0,81.0,84.0,81.5,81.5
CK-100123,S109,2026-01-11,morning,P11,professional,3.7,1,61.0,71.0,75.0,71.9,71.9
CK-100124,S120,2026-01-11,midday,P01,professional,2.9,1,72.0,93.0,76.0,81.7,81.7
CK-100125,S005,2026-01-12,morning,P26,professional,2.7,1,94.0,89.0,98.0,93.0,93.0
CK-100126,S012,2026-01-12,evening,P19,professional,5.5,1,69.0,76.0,82.0,74.9,74.9
CK-100127,S018,2026-01-12,midday,P03,professional,5.1,1,88.0,75.0,77.0,84.2,84.2
CK-100128,S038,2026-01-12,midday,P27,professional,3.3,1,80.0,72.0,75.0,76.4,76.4
CK-100129,S047,2026-01-12,morning,P09,professional,5.1,1,77.0,74.0,80.0,77.0,77.0
CK-100130,S050,2026-01-12,evening,P19,professional,4.2,1,71.0,68.0,77.0,74.8,74.8
CK-100131,S054,2026-01-12,morning,P10,professional,1.8,1,81.0,79.0,76.0,79.8,79.8
CK-100132,S064,2026-01-12,midday,P20,professional,5.0,1,66.0,66.0,64.0,67.0,67.0
CK-100133,S067,2026-01-12,morning,P12,professional,4.7,1,69.0,77.0,73.0,74.3,74.3
CK-100134,S071,2026-01-12,morning,P05,professional,9.8,1,66.0,70.0,66.0,67.2,67.2
CK-100135,S077,2026-01-12,midday,P12,professional,5.3,1,76.0,81.0,69.0,72.3,72.3
CK-100136,S088,2026-01-12,morning,P24,professional,8.6,1,73.0,79.0,77.0,82.6,82.6
CK-100137,S099,2026-01-12,midday,P07,professional,2.4,1,71.0,58.0,61.0,61.9,61.9
CK-100138,S101,2026-01-12,evening,P12,professional,5.5,1,68.0,75.0,71.0,72.4,72.4
CK-100139,S103,2026-01-12,morning,P21,professional,7.0,1,76.0,72.0,76.0,80.1,80.1
CK-100140,S107,2026-01-12,midday,P25,professional,5.4,0,92.0,99.0,87.0,89.4,89.4
CK-100141,S110,2026-01-12,midday,P17,professional,2.5,1,85.0,85.0,85.0,85.5,85.5
CK-100142,S115,2026-01-12,evening,P17,professional,4.9,1,70.0,83.0,80.0,79.2,79.2
CK-100143,S119,2026-01-12,morning,P02,professional,4.3,1,92.0,100.0,81.0,88.8,88.8
CK-100144,S001,2026-01-13,midday,P19,professional,5.2,1,89.0,90.0,96.0,89.5,89.5
CK-100145,S008,2026-01-13,morning,P05,professional,5.7,1,88.0,93.0,86.0,83.3,83.3
CK-100146,S009,2026-01-13,evening,P27,professional,4.4,0,78.0,80.0,73.0,82.2,82.2
CK-100147,S014,2026-01-13,evening,P10,professional,6.2,1,77.0,67.0,71.0,74.8,74.8
CK-100148,S017,2026-01-13,midday,P25,professional,3.6,1,83.0,82.0,73.0,82.3,82.3
CK-100149,S027,2026-01-13,morning,P28,professional,2.1,1,74.0,81.0,80.0,81.8,81.8
CK-100150,S033,2026-01-13,evening,P20,professional,2.3,1,76.0,81.0,85.0,77.4,77.4
CK-100151,S048,2026-01-13,morning,P18,professional,8.8,1,97.0,87.0,87.0,89.0,89.0
CK-100152,S056,2026-01-13,evening,P29,professional,7.4,1,71.0,75.0,68.0,73.2,73.2
CK-100153,S057,2026-01-13,evening,P25,professional,6.3,1,69.0,65.0,70.0,70.8,70.8
CK-100154,S058,2026-01-13,midday,P25,professional,3.0,1,72.0,74.0,76.0,74.1,74.1
CK-100155,S061,2026-01-13,morning,P18,professional,6.0,1,86.0,76.0,82.0,83.6,83.6
CK-100156,S062,2026-01-13,morning,P28,professional,3.0,1,92.0,91.0,93.0,90.1,90.1
CK-100157,S078,2026-01-13,midday,P18,professional,9.0,1,89.0,83.0,84.0,85.5,85.5
CK-100158,S080,2026-01-13,morning,P25,professional,7.2,1,83.0,81.0,82.0,84.3,84.3
CK-100159,S082,2026-01-13,midday,P24,professional,8.3,1,79.0,91.0,88.0,83.2,83.2
CK-100160,S086,2026-01-13,morning,P03,professional,4.7,1,77.0,81.0,84.0,79.7,79.7
CK-100161,S088,2026-01-13,midday,P24,professional,3.7,0,93.0,93.0,86.0,89.1,89.1
CK-100162,S091,2026-01-13,morning,P21,professional,2.6,1,89.0,79.0,82.0,81.5,81.5
CK-100163,S094,2026-01-13,morning,P18,professional,4.4,1,83.0,92.0,83.0,85.7,85.7
CK-100164,S104,2026-01-13,morning,P09,professional,3.1,1,79.0,74.0,79.0,78.5,78.5
CK-100165,S107,2026-01-13,evening,P13,professional,7.3,1,66.0,63.0,69.0,67.4,67.4
CK-100166,S110,2026-01-13,evening,P24,professional,2.6,1,58.0,49.0,61.0,55.1,55.1
CK-100167,S113,2026-01-13,midday,P28,professional,4.1,1,66.0,69.0,70.0,67.2,67.2
CK-100168,S001,2026-01-14,morning,P01,professional,5.1,1,80.0,77.0,87.0,83.5,83.5
CK-100169,S002,2026-01-14,morning,P02,professional,4.2,1,63.0,73.0,70.0,72.5,72.5
CK-100170,S007,2026-01-14,morning,P21,professional,5.3,1,79.0,78.0,74.0,77.0,77.0
CK-100171,S023,2026-01-14,morning,P05,professional,4.3,0,64.0,76.0,75.0,74.2,74.2
CK-100172,S028,2026-01-14,morning,P30,professional,2.5,1,81.0,80.0,79.0,74.1,74.1
CK-100173,S030,2026-01-14,evening,P02,professional,10.4,1,85.0,80.0,77.0,77.8,77.8
CK-100174,S060,2026-01-14,morning,P01,professional,4.4,1,78.0,80.0,82.0,78.7,78.7
CK-100175,S063,2026-01-14,morning,P24,professional,4.8,0,80.0,81.0,80.0,78.8,78.8
CK-100176,S065,2026-01-14,morning,P20,professional,4.0,1,68.0,72.0,64.0,67.1,67.1
CK-100177,S071,2026-01-14,midday,P25,professional,7.1,1,67.0,73.0,61.0,64.4,64.4
CK-100178,S081,2026-01-14,midday,P18,professional,6.4,1,73.0,83.0,83.0,76.9,76.9
CK-100179,S097,2026-01-14,midday,P15,professional,5.7,0,72.0,76.0,72.0,74.3,74.3
CK-100180,S098,2026-01-14,evening,P27,professional,4.8,1,71.0,62.0,71.0,71.1,71.1
CK-100181,S003,2026-01-15,evening,P11,professional,8.5,0,82.0,82.0,87.0,78.4,78.4
CK-100182,S005,2026-01-15,midday,P10,professional,2.5,1,91.0,82.0,73.0,80.2,80.2
CK-100183,S008,2026-01-15,midday,P20,professional,1.8,1,83.0,79.0,77.0,78.1,78.1
CK-100184,S009,2026-01-15,midday,P22,professional,10.0,1,92.0,88.0,94.0,92.1,92.1
CK-100185,S012,2026-01-15,midday,P25,professional,4.0,1,73.0,75.0,80.0,77.2,77.2
CK-100186,S015,2026-01-15,evening,P10,professional,4.7,1,77.0,78.0,77.0,75.4,75.4
CK-100187,S041,2026-01-15,evening,P11,professional,11.6,1,70.0,84.0,80.0,75.1,75.1
CK-100188,S047,2026-01-15,midday,P10,professional,5.8,1,83.0,78.0,87.0,82.3,82.3
CK-100189,S050,2026-01-15,midday,P09,professional,9.5,0,83.0,83.0,82.0,89.4,89.4
CK-100190,S051,2026-01-15,midday,P07,professional,3.4,1,75.0,85.0,76.0,81.2,81.2
CK-100191,S054,2026-01-15,midday,P21,professional,2.8,1,69.0,69.0,75.0,76.5,76.5
CK-100192,S056,2026-01-15,midday,P07,professional,4.8,1,78.0,72.0,70.0,71.7,71.7
CK-100193,S066,2026-01-15,midday,P26,professional,6.7,1,83.0,74.0,80.0,80.8,80.8
CK-100194,S073,2026-01-15,evening,P22,professional,3.8,1,78.0,74.0,75.0,74.6,74.6
CK-100195,S081,2026-01-15,evening,P16,professional,3.2,1,96.0,89.0,78.0,88.7,88.7
CK-100196,S083,2026-01-15,evening,P19,professional,2.6,1,65.0,64.0,62.0,67.6,67.6
CK-100197,S087,2026-01-15,morning,P03,professional,2.8,1,84.0,88.0,79.0,82.5,82.5
CK-100198,S094,2026-01-15,morning,P14,professional,3.7,1,77.0,77.0,75.0,79.4,79.4
CK-100199,S095,2026-01-15,morning,P11,professional,5.2,1,91.0,87.0,82.0,84.3,84.3
CK-100200,S005,2026-01-16,midday,P19,professional,5.4,1,86.0,76.0,80.0,82.4,82.4
CK-100201,S006,2026-01-16,evening,P12,professional,7.8,1,69.0,76.0,75.0,71.6,71.6
CK-100202,S007,2026-01-16,midday,P11,professional,5.8,1,74.0,69.0,71.0,74.1,74.1
CK-100203,S019,2026-01-16,evening,P14,professional,12.3,1,81.0,76.0,86.0,78.6,78.6
CK-100204,S031,2026-01-16,morning,P05,professional,8.9,1,85.0,87.0,81.0,79.7,79.7
CK-100205,S035,2026-01-16,evening,P02,professional,2.6,0,67.0,58.0,64.0,62.2,62.2
CK-100206,S045,2026-01-16,morning,P01,professional,7.2,1,92.0,86.0,82.0,83.6,83.6
CK-100207,S049,2026-01-16,midday,P12,professional,7.3,1,58.0,61.0,65.0,60.7,60.7
CK-100208,S054,2026-01-16,evening,P17,professional,3.5,1,70.0,70.0,67.0,68.8,68.8
CK-100209,S055,2026-01-16,morning,P11,professional,3.8,1,86.0,93.0,81.0,84.2,84.2
CK-100210,S056,2026-01-16,morning,P19,professional,2.8,1,68.0,61.0,75.0,72.3,72.3
CK-100211,S057,2026-01-16,evening,P24,professional,5.9,1,88.0,83.0,80.0,78.6,78.6
CK-100212,S060,2026-01-16,evening,P03,professional,5.7,1,70.0,86.0,84.0,76.5,76.5
CK-100213,S069,2026-01-16,midday,P07,professional,4.7,1,89.0,97.0,83.0,89.5,89.5
CK-100214,S074,2026-01-16,evening,P23,professional,7.3,1,71.0,75.0,73.0,72.4,72.4
CK-100215,S085,2026-01-16,morning,P12,professional,5.6,1,83.0,87.0,88.0,83.9,83.9
CK-100216,S095,2026-01-16,evening,P09,professional,4.1,1,74.0,73.0,72.0,75.6,75.6
CK-100217,S096,2026-01-16,evening,P12,professional,3.7,1,83.0,76.0,77.0,78.0,78.0
CK-100218,S100,2026-01-16,midday,P20,professional,4.4,1,69.0,72.0,70.0,74.3,74.3
CK-100219,S104,2026-01-16,midday,P25,professional,2.2,1,69.0,83.0,76.0,75.8,75.8
CK-100220,S106,2026-01-16,morning,P25,professional,7.3,1,72.0,77.0,79.0,80.9,80.9
CK-100221,S108,2026-01-16,evening,P23,professional,3.7,1,76.0,74.0,84.0,79.4,79.4
CK-100222,S112,2026-01-16,evening,P12,professional,5.6,1,74.0,74.0,73.0,74.2,74.2
CK-100223,S120,2026-01-16,evening,P11,professional,5.5,1,78.0,79.0,72.0,79.4,79.4
CK-100224,S002,2026-01-17,evening,P16,professional,4.8,1,85.0,70.0,79.0,74.8,74.8
CK-100225,S006,2026-01-17,morning,P28,professional,5.3,1,70.0,73.0,76.0,72.0,72.0
CK-100226,S023,2026-01-17,midday,P09,professional,3.0,0,74.0,85.0,77.0,79.4,79.4
CK-100227,S027,2026-01-17,midday,P02,professional,7.4,0,82.0,82.0,76.0,74.7,74.7
CK-100228,S029,2026-01-17,midday,P23,professional,2.1,1,82.0,78.0,82.0,77.4,77.4
CK-100229,S030,2026-01-17,midday,P09,professional,4.5,1,79.0,72.0,79.0,79.4,79.4
CK-100230,S031,2026-01-17,midday,P07,professional,3.6,1,78.0,83.0,84.0,81.6,81.6
CK-100231,S034,2026-01-17,morning,P19,professional,3.2,1,81.0,72.0,80.0,77.4,77.4
CK-100232,S038,2026-01-17,morning,P08,professional,3.8,1,84.0,86.0,87.0,87.1,87.1
CK-100233,S041,2026-01-17,midday,P17,professional,2.8,1,78.0,64.0,75.0,74.4,74.4
CK-100234,S053,2026-01-17,midday,P30,professional,4.7,1,79.0,82.0,81.0,79.0,79.0
CK-100235,S054,2026-01-17,evening,P29,professional,4.6,1,66.0,84.0,80.0,80.2,80.2
CK-100236,S059,2026-01-17,morning,P18,professional,2.0,1,91.0,92.0,94.0,92.7,92.7
CK-100237,S063,2026-01-17,evening,P04,professional,3.1,1,69.0,88.0,82.0,76.5,76.5
CK-100238,S064,2026-01-17,morning,P18,professional,8.9,1,88.0,80.0,88.0,83.7,83.7
CK-100239,S070,2026-01-17,midday,P16,professional,8.4,1,81.0,88.0,79.0,79.7,79.7
CK-100240,S076,2026-01-17,morning,P10,professional,6.0,1,74.0,87.0,79.0,83.8,83.8
CK-100241,S082,2026-01-17,morning,P22,professional,2.8,1,82.0,72.0,82.0,72.6,72.6
CK-100242,S100,2026-01-17,morning,P16,professional,2.8,1,76.0,72.0,73.0,72.6,72.6
CK-100243,S105,2026-01-17,evening,P09,professional,15.7,1,76.0,79.0,75.0,75.6,75.6
CK-100244,S107,2026-01-17,midday,P08,professional,7.3,1,85.0,73.0,80.0,76.7,76.7
CK-100245,S108,2026-01-17,midday,P27,professional,6.3,1,86.0,81.0,80.0,81.5,81.5
CK-100246,S019,2026-01-18,morning,P12,professional,1.7,1,65.0,69.0,68.0,70.7,70.7
CK-100247,S020,2026-01-18,midday,P20,professional,5.0,1,86.0,82.0,89.0,83.4,83.4
CK-100248,S025,2026-01-18,morning,P29,professional,2.2,1,86.0,76.0,81.0,81.7,81.7
CK-100249,S029,2026-01-18,midday,P02,professional,2.8,1,97.0,92.0,87.0,84.3,84.3
CK-100250,S037,2026-01-18,morning,P20,professional,4.7,1,80.0,75.0,92.0,79.9,79.9
CK-100251,S075,2026-01-18,morning,P25,professional,7.6,1,61.0,74.0,71.0,69.5,69.5
CK-100252,S109,2026-01-18,evening,P15,professional,7.0,0,67.0,77.0,74.0,71.9,71.9
CK-100253,S111,2026-01-18,evening,P26,professional,7.7,1,84.0,85.0,82.0,82.4,82.4
CK-100254,S113,2026-01-18,morning,P08,professional,1.9,1,85.0,98.0,82.0,91.7,91.7
CK-100255,S114,2026-01-18,morning,P19,professional,4.4,1,88.0,81.0,79.0,82.5,82.5
CK-100256,S120,2026-01-18,morning,P18,professional,3.3,1,60.0,65.0,65.0,67.3,67.3
CK-100257,S003,2026-01-19,morning,P27,professional,2.8,1,81.0,73.0,82.0,79.3,79.3
CK-100258,S004,2026-01-19,evening,P23,professional,8.0,1,66.0,70.0,82.0,75.8,75.8
CK-100259,S010,2026-01-19,evening,P29,professional,6.5,1,86.0,85.0,84.0,83.9,83.9
CK-100260,S024,2026-01-19,midday,P05,professional,3.9,1,81.0,71.0,74.0,74.0,74.0
CK-100261,S029,2026-01-19,evening,P06,professional,8.9,1,83.0,80.0,86.0,82.9,82.9
CK-100262,S040,2026-01-19,evening,P11,professional,5.6,1,91.0,86.0,84.0,80.9,80.9
CK-100263,S050,2026-01-19,morning,P12,professional,5.1,1,82.0,81.0,88.0,78.7,78.7
CK-100264,S052,2026-01-19,midday,P20,professional,1.7,1,76.0,81.0,76.0,75.1,75.1
CK-100265,S075,2026-01-19,evening,P02,professional,3.1,1,83.0,77.0,73.0,75.7,75.7
CK-100266,S077,2026-01-19,midday,P18,professional,2.3,1,74.0,77.0,76.0,76.2,76.2
CK-100267,S078,2026-01-19,evening,P02,professional,6.6,1,75.0,78.0,71.0,77.4,77.4
CK-100268,S079,2026-01-19,morning,P01,professional,6.6,0,68.0,74.0,65.0,69.2,69.2
CK-100269,S097,2026-01-19,evening,P05,professional,6.3,1,73.0,69.0,70.0,72.1,72.1
CK-100270,S101,2026-01-19,midday,P27,professional,3.1,1,88.0,85.0,84.0,80.4,80.4
CK-100271,S110,2026-01-19,midday,P01,professional,2.9,1,55.0,60.0,67.0,64.5,64.5
